Date,XLF,XLK,XLE
2016-12-01,19.188432693481445,21.049970626831055,25.182878494262695
2016-12-02,18.978952407836914,21.126890182495117,25.257137298583984
2016-12-05,19.205190658569336,21.33051300048828,25.479894638061523
2016-12-06,19.372777938842773,21.39386749267578,25.43264389038086
2016-12-07,19.674427032470703,21.80109977722168,25.63515853881836
2016-12-08,19.858774185180664,21.855405807495117,25.773544311523438
2016-12-09,19.90066909790039,22.013776779174805,25.854555130004883
2016-12-12,19.70793914794922,21.945905685424805,25.976064682006836
2016-12-13,19.758214950561523,22.221923828125,26.269710540771484
2016-12-14,19.66604995727539,22.145000457763672,25.7431640625
2016-12-15,19.83363151550293,22.244552612304688,25.800554275512695
2016-12-16,19.662765502929688,22.083656311035156,25.960704803466797
2016-12-19,19.67117691040039,22.24272918701172,25.84194564819336
2016-12-20,19.915281295776367,22.32453727722168,25.784259796142578
2016-12-21,19.86478042602539,22.279088973999023,25.824979782104492
2016-12-22,19.81427764892578,22.2336368560791,25.930164337158203
2016-12-23,19.847932815551758,22.256366729736328,25.90641212463379
2016-12-27,19.87318992614746,22.347261428833008,25.96409797668457
2016-12-28,19.67117691040039,22.147287368774414,25.682466506958008
2016-12-29,19.528087615966797,22.151830673217773,25.631563186645508
2016-12-30,19.570173263549805,21.979129791259766,25.556928634643555
2017-01-03,19.789020538330078,22.174556732177734,25.845335006713867
2017-01-04,19.948945999145508,22.25182342529297,25.791051864624023
2017-01-05,19.746931076049805,22.288183212280273,25.726579666137695
2017-01-06,19.81427764892578,22.451801300048828,25.750328063964844
2017-01-09,19.679595947265625,22.44724464416504,25.377086639404297
2017-01-10,19.721677780151367,22.451801300048828,25.14634895324707
2017-01-11,19.847932815551758,22.55632972717285,25.417802810668945
2017-01-12,19.679595947265625,22.501792907714844,25.312623977661133
2017-01-13,19.789020538330078,22.56995964050293,25.237966537475586
2017-01-17,19.317657470703125,22.483619689941406,25.3940486907959
2017-01-18,19.477584838867188,22.54269790649414,25.336368560791016
2017-01-19,19.39341163635254,22.510879516601562,25.197250366210938
2017-01-20,19.485998153686523,22.633586883544922,25.292261123657227
2017-01-23,19.359739303588867,22.674495697021484,25.024194717407227
2017-01-24,19.60384178161621,22.815391540527344,25.29904556274414
2017-01-25,19.932111740112305,23.033540725708008,25.43138313293457
2017-01-26,19.982622146606445,22.969919204711914,25.451744079589844
2017-01-27,19.906862258911133,23.060810089111328,25.187076568603516
2017-01-30,19.746931076049805,22.874473571777344,24.725614547729492
2017-01-31,19.620676040649414,22.760852813720703,24.735790252685547
2017-02-01,19.64592933654785,22.933555603027344,24.552560806274414
2017-02-02,19.570173263549805,22.888105392456055,24.691673278808594
2017-02-03,19.965784072875977,23.038082122802734,24.90544319152832
2017-02-06,19.87318992614746,23.051725387573242,24.695079803466797
2017-02-07,19.822689056396484,23.142621994018555,24.3455810546875
2017-02-08,19.68800926208496,23.183523178100586,24.40326690673828
2017-02-09,19.957361221313477,23.256240844726562,24.678110122680664
2017-02-10,20.01628875732422,23.324419021606445,24.864727020263672
2017-02-13,20.243549346923828,23.42894744873047,24.9122314453125
2017-02-14,20.479236602783203,23.506214141845703,24.993671417236328
2017-02-15,20.639163970947266,23.58347511291504,24.895273208618164
2017-02-16,20.588661193847656,23.63800811767578,24.55595588684082
2017-02-17,20.597078323364258,23.719823837280273,24.420228958129883
2017-02-21,20.698089599609375,23.842538833618164,24.58649253845215
2017-02-22,20.71492576599121,23.869802474975586,24.213253021240234
2017-02-23,20.71492576599121,23.865262985229492,24.31504249572754
2017-02-24,20.554990768432617,23.919795989990234,24.087697982788086
2017-02-27,20.664417266845703,23.906164169311523,24.2946834564209
2017-02-28,20.656002044677734,23.792539596557617,24.220041275024414
2017-03-01,21.245206832885742,24.12886619567871,24.70525360107422
2017-03-02,20.91693687438965,23.969797134399414,24.471134185791016
2017-03-03,21.017940521240234,24.024337768554688,24.42701530456543
2017-03-06,20.858015060424805,23.98797035217285,24.481306076049805
2017-03-07,20.799095153808594,23.98797035217285,24.264150619506836
2017-03-08,20.807506561279297,24.015239715576172,23.633031845092773
2017-03-09,20.88326644897461,24.010696411132812,23.78911590576172
2017-03-10,20.866432189941406,24.13795280456543,23.755176544189453
2017-03-13,20.91693687438965,24.160680770874023,23.758569717407227
2017-03-14,20.858015060424805,24.10614013671875,23.490520477294922
2017-03-15,20.8243465423584,24.269752502441406,24.013059616088867
2017-03-16,20.858015060424805,24.28339195251465,23.843400955200195
2017-03-17,20.653589248657227,24.335853576660156,23.82599639892578
2017-03-20,20.484643936157227,24.35866928100586,23.791852951049805
2017-03-21,19.910228729248047,24.00279426574707,23.624591827392578
2017-03-22,19.867996215820312,24.15336036682129,23.59046745300293
2017-03-23,19.910228729248047,24.089488983154297,23.494892120361328
2017-03-24,19.8848876953125,24.107738494873047,23.40271759033203
2017-03-27,19.80886459350586,24.107738494873047,23.29349708557129
2017-03-28,20.079174041748047,24.281112670898438,23.624591827392578
2017-03-29,19.952468872070312,24.32217788696289,23.94887924194336
2017-03-30,20.21433448791504,24.367799758911133,23.942054748535156
2017-03-31,20.04538917541504,24.32217788696289,23.860126495361328
2017-04-03,20.003149032592773,24.299367904663086,23.81916618347168
2017-04-04,19.97780990600586,24.31761360168457,23.993253707885742
2017-04-05,19.825756072998047,24.217235565185547,23.918161392211914
2017-04-06,19.952468872070312,24.221805572509766,24.109312057495117
2017-04-07,19.867996215820312,24.208110809326172,24.017147064208984
2017-04-10,19.817306518554688,24.162485122680664,24.198062896728516
2017-04-11,19.758176803588867,24.071237564086914,24.20147132873535
2017-04-12,19.59767723083496,23.989124298095703,24.09907341003418
2017-04-13,19.344263076782227,23.893308639526367,23.65872573852539
2017-04-17,19.682153701782227,24.112302780151367,23.70993995666504
2017-04-18,19.496313095092773,24.107738494873047,23.488056182861328
2017-04-19,19.437177658081055,24.089488983154297,23.1433048248291
2017-04-20,19.766626358032227,24.308488845825195,23.255943298339844
2017-04-21,19.56389617919922,24.258298873901367,23.139890670776367
2017-04-24,20.003149032592773,24.545726776123047,23.27642822265625
2017-04-25,20.1805419921875,24.673479080200195,23.474407196044922
2017-04-26,20.163646697998047,24.64610481262207,23.395891189575195
2017-04-27,20.070728302001953,24.746471405029297,23.139890670776367
2017-04-28,19.87643814086914,24.81035041809082,23.156951904296875
2017-05-01,20.003149032592773,24.997406005859375,23.09209632873535
2017-05-02,19.97780990600586,25.05215835571289,22.97603988647461
2017-05-03,20.138307571411133,25.006534576416016,23.0408992767334
2017-05-04,20.172096252441406,24.988283157348633,22.61762809753418
2017-05-05,20.138307571411133,25.07952880859375,22.97603988647461
2017-05-08,20.121410369873047,25.189022064208984,23.139890670776367
2017-05-09,20.04538917541504,25.22096061706543,22.948732376098633
2017-05-10,20.112958908081055,25.316770553588867,23.252531051635742
2017-05-11,19.98625373840332,25.284839630126953,23.204744338989258
2017-05-12,19.901782989501953,25.34871482849121,23.12623405456543
2017-05-15,20.0538387298584,25.490150451660156,23.30714988708496
2017-05-16,20.112958908081055,25.6087703704834,23.191091537475586
2017-05-17,19.479415893554688,24.910720825195312,22.962379455566406
2017-05-18,19.555442810058594,25.056720733642578,22.95555305480957
2017-05-19,19.724390029907227,25.20271873474121,23.238876342773438
2017-05-22,19.775068283081055,25.403459548950195,23.187673568725586
2017-05-23,19.927125930786133,25.44908905029297,23.24228858947754
2017-05-24,19.918672561645508,25.55401611328125,23.11940574645996
2017-05-25,19.952468872070312,25.73651885986328,22.69955062866211
2017-05-26,19.94402503967285,25.72283363342285,22.73710060119629
2017-05-30,19.80886459350586,25.832324981689453,22.433298110961914
2017-05-31,19.639921188354492,25.791261672973633,22.337717056274414
2017-06-01,19.8848876953125,25.855133056640625,22.477670669555664
2017-06-02,19.80886459350586,26.09238624572754,22.21824836730957
2017-06-05,19.842649459838867,26.115196228027344,22.259214401245117
2017-06-06,19.758176803588867,26.065013885498047,22.522050857543945
2017-06-07,19.910228729248047,26.14713478088379,22.204599380493164
2017-06-08,20.138307571411133,26.206445693969727,22.13974380493164
2017-06-09,20.518436431884766,25.558582305908203,22.6722412109375
2017-06-12,20.560672760009766,25.408018112182617,22.832672119140625
2017-06-13,20.670482635498047,25.59052085876465,23.00334930419922
2017-06-14,20.704273223876953,25.467336654663086,22.58690643310547
2017-06-15,20.619796752929688,25.353273391723633,22.41623878479004
2017-06-16,20.596904754638672,25.30884552001953,22.78708267211914
2017-06-19,20.808895111083984,25.684467315673828,22.64272117614746
2017-06-20,20.630826950073242,25.47832489013672,22.354019165039062
2017-06-21,20.46123695373535,25.620330810546875,21.993141174316406
2017-06-22,20.33403968811035,25.629491806030273,21.979393005371094
2017-06-23,20.25772476196289,25.78982925415039,22.127180099487305
2017-06-26,20.367963790893555,25.652402877807617,22.079063415527344
2017-06-27,20.469715118408203,25.23097038269043,22.044694900512695
2017-06-28,20.791940689086914,25.547046661376953,22.164989471435547
2017-06-29,20.936086654663086,25.08896255493164,22.213102340698242
2017-06-30,20.91912841796875,25.06606674194336,22.312780380249023
2017-07-03,21.224395751953125,24.891996383666992,22.742401123046875
2017-07-05,21.25830841064453,25.13935089111328,22.281843185424805
2017-07-06,21.097198486328125,24.910316467285156,22.034387588500977
2017-07-07,21.24135398864746,25.198904037475586,22.000009536743164
2017-07-10,21.215917587280273,25.382129669189453,22.072189331054688
2017-07-11,21.02936553955078,25.43709945678711,22.19249153137207
2017-07-12,21.097198486328125,25.766923904418945,22.254350662231445
2017-07-13,21.224395751953125,25.817310333251953,22.343713760375977
2017-07-14,21.131120681762695,26.046344757080078,22.477752685546875
2017-07-17,21.06328582763672,26.050931930541992,22.45025634765625
2017-07-18,21.02936553955078,26.170026779174805,22.343713760375977
2017-07-19,21.0378475189209,26.302867889404297,22.670215606689453
2017-07-20,21.02936553955078,26.357845306396484,22.601486206054688
2017-07-21,21.02936553955078,26.325777053833008,22.37807846069336
2017-07-24,21.12264060974121,26.389907836914062,22.33683967590332
2017-07-25,21.38551139831543,26.33951759338379,22.618667602539062
2017-07-26,21.24135398864746,26.440296173095703,22.64272117614746
2017-07-27,21.12264060974121,26.33951759338379,22.873003005981445
2017-07-28,21.12264060974121,26.312036514282227,22.845504760742188
2017-07-31,21.275272369384766,26.18376350402832,22.897064208984375
2017-08-01,21.427906036376953,26.316608428955078,22.893627166748047
2017-08-02,21.461824417114258,26.389907836914062,22.807703018188477
2017-08-03,21.38551139831543,26.33035659790039,22.48806381225586
2017-08-04,21.5296573638916,26.389907836914062,22.560239791870117
2017-08-07,21.495742797851562,26.550233840942383,22.388385772705078
2017-08-08,21.43638801574707,26.51358413696289,22.33683967590332
2017-08-09,21.43638801574707,26.499849319458008,22.35746192932129
2017-08-10,21.05480194091797,25.977630615234375,22.120309829711914
2017-08-11,20.970012664794922,26.156286239624023,21.9759521484375
2017-08-14,21.25830841064453,26.57313346862793,21.91065216064453
2017-08-15,21.275272369384766,26.61436653137207,21.82816505432129
2017-08-16,21.232872009277344,26.69223976135254,21.618507385253906
2017-08-17,20.86825942993164,26.170026779174805,21.312620162963867
2017-08-18,20.876733779907227,26.142541885375977,21.41916847229004
2017-08-21,20.81736946105957,26.133380889892578,21.309186935424805
2017-08-22,21.04632568359375,26.522743225097656,21.450098037719727
2017-08-23,20.97848129272461,26.458614349365234,21.542898178100586
2017-08-24,20.97848129272461,26.435712814331055,21.556644439697266
2017-08-25,21.0378475189209,26.431129455566406,21.652883529663086
2017-08-28,20.902170181274414,26.481521606445312,21.556644439697266
2017-08-29,20.83433723449707,26.596044540405273,21.52914810180664
2017-08-30,20.91912841796875,26.788434982299805,21.539459228515625
2017-08-31,20.944570541381836,26.94876480102539,21.6425724029541
2017-09-01,21.003925323486328,26.925865173339844,21.852222442626953
2017-09-05,20.554508209228516,26.68765640258789,21.97252082824707
2017-09-06,20.605384826660156,26.710561752319336,22.3299617767334
2017-09-07,20.249244689941406,26.802173614501953,22.37120246887207
2017-09-08,20.435792922973633,26.582298278808594,22.134056091308594
